index,lights,street_inf,bikes,landmarks,memorials,trees,transport_stops,bus-stops,tram-stops,metro-stations,taxi-ranks,big-car-parks,buildings_2010,buildings_2011,buildings_2012,buildings_2013,buildings_2014,buildings_2015,buildings_2016,buildings_2017,buildings_2018,buildings_2019,buildings_2020,avg_n_floors_2010,avg_n_floors_2011,avg_n_floors_2012,avg_n_floors_2013,avg_n_floors_2014,avg_n_floors_2015,avg_n_floors_2016,avg_n_floors_2017,avg_n_floors_2018,avg_n_floors_2019,avg_n_floors_2020,sensor_id
43,1,535,2,5,1,545,11,11,0,0,1,1,226,226,227,227,230,230,230,230,230,233,235,2.247787610619469,2.247787610619469,2.251101321585903,2.251101321585903,2.273913043478261,2.273913043478261,2.234782608695652,2.234782608695652,2.239130434782609,2.227467811158798,2.217948717948718,43
44,1,408,1,5,1,570,6,6,0,0,2,1,192,192,193,193,197,197,197,197,198,199,199,2.0885416666666665,2.0885416666666665,2.1139896373056994,2.1139896373056994,2.1624365482233503,2.1624365482233503,2.1269035532994924,2.1269035532994924,2.1515151515151514,2.1256281407035176,2.130653266331658,44
45,542,1524,2,15,20,448,2,1,1,0,19,7,373,373,365,365,365,365,364,365,362,362,365,5.6916890080428955,5.7882037533512065,5.802739726027397,5.802739726027397,5.901369863013699,5.901369863013699,5.925824175824176,5.964383561643835,5.975138121546961,5.939226519337017,5.912328767123288,45
46,88,728,1,4,3,981,5,5,0,0,1,8,243,243,241,241,239,239,238,238,236,237,239,3.0246913580246915,3.0246913580246915,3.078838174273859,3.078838174273859,3.506276150627615,3.506276150627615,3.5504201680672267,3.5504201680672267,3.792372881355932,3.7966101694915255,4.2899159663865545,46
47,203,1274,1,14,10,483,6,2,3,1,9,8,352,354,351,350,348,348,346,346,347,344,343,5.25,5.3107344632768365,5.3076923076923075,5.348571428571429,5.385057471264368,5.758620689655173,6.104046242774566,6.531791907514451,6.706051873198847,7.3313953488372094,7.518950437317784,47
48,32,853,1,1,7,898,5,5,0,0,4,10,296,299,298,298,296,295,297,297,297,297,298,3.0472972972972974,3.0702341137123748,3.1442953020134228,3.302013422818792,3.510135135135135,3.8610169491525426,3.898989898989899,4.491582491582491,4.592592592592593,4.9393939393939394,5.231543624161074,48
49,58,978,2,4,7,716,5,4,1,0,4,12,269,273,273,272,272,272,272,272,271,266,268,3.8475836431226766,3.9633699633699635,3.989010989010989,4.242647058823529,4.404411764705882,4.911764705882353,5.080882352941177,5.992647058823529,6.125461254612546,7.109022556390977,7.623134328358209,49
50,1,741,0,7,2,994,15,15,0,0,2,3,394,394,395,395,399,399,400,400,401,409,408,2.0,2.00253807106599,2.0227848101265824,2.0227848101265824,2.0426065162907268,2.0426065162907268,2.0525,2.0525,2.0623441396508726,2.053789731051345,2.0563725490196076,50
51,58,976,3,5,7,669,10,8,2,0,5,10,262,266,266,265,263,265,264,264,265,260,261,4.438931297709924,4.548872180451128,4.590225563909774,4.9849056603773585,5.079847908745247,5.667924528301887,6.1893939393939394,7.128787878787879,7.332075471698113,8.403846153846153,8.873563218390805,51
52,169,1320,2,15,10,482,8,4,3,1,11,5,365,365,361,361,359,361,358,358,359,358,355,5.698630136986301,5.706849315068493,5.728531855955679,5.728531855955679,5.766016713091922,5.850415512465374,6.187150837988827,6.388268156424581,6.557103064066852,7.0083798882681565,7.183098591549296,52
