,sensor_id,Name,sensor_name,installation_date,status,note,Latitude,Longitude,location,Note,Location_Type,Status
0,16,Australia on Collins,Col270_T,30/03/2009,R,Device moved to location ID 53 (22/09/2015),-37.81573422,144.9652104,"(-37.81573422, 144.96521044)",,,
1,50,Faraday St-Lygon St (West),Lyg309_T,30/11/2017,A,,-37.79808191,144.9672101,"(-37.79808191, 144.96721014)",,,
2,73,Bourke St - Spencer St (South),Bou655_T,02/10/2020,I,,-37.81695684,144.9541537,"(-37.81695684, 144.95415373)",,,
3,66,State Library - New,QVN_T,06/04/2020,A,,-37.81057845,144.9644429,"(-37.81057845, 144.96444294)",,,
4,59,Building 80 RMIT,RMIT_T,13/02/2019,A,,-37.80825648,144.9630486,"(-37.80825648, 144.96304859)",,,
5,23,Spencer St-Collins St (South),Col623_T,02/09/2013,A,,-37.81909256,144.9545275,"(-37.81909256, 144.95452749)",,,
6,20,Chinatown-Lt Bourke St (South),LtB170_T,06/09/2013,A,,-37.81172913,144.9682466,"(-37.81172913, 144.9682466)",,,
7,68,Flinders Ln -Degraves St (North),FLDegN_T,03/06/2020,A,,-37.81684789,144.9655979,"(-37.81684789, 144.96559789)",,,
8,33,Flinders St-Spring St (West),Spr13_T,23/04/2014,R,,-37.81483252,144.9745406,"(-37.81483252, 144.97454056)",,,
9,40,Lonsdale St-Spring St (West),Spr201_T,19/01/2015,A,,-37.80999341,144.9722759,"(-37.80999341, 144.97227588)",,,
10,85,Macaulay Rd (North),488Mac_T,21/12/2021,A,,-37.79432414,144.9297338,"(-37.79432414, 144.92973379)",,,
11,15,State Library,QV_T,25/03/2009,R,,-37.81064378,144.9644713,"(-37.81064378, 144.96447132)",,,
